articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
-2015,<1,0.664,F,NA,MATCH,TRUE
-2015,3,3,df,0,MATCH,NA
-2015,194,194,df,0,MATCH,NA
-2015,24.1,23.35,F,3.1120331950207465,MINOR_ERROR,NA
-2015,<.001,6.01e-13,p,NA,MATCH,TRUE
-2015,0.27,0.27,pes,0,MATCH,NA
-2015,16.28,16.28,F,0,MATCH,NA
-2015,<.001,1.77e-09,p,NA,MATCH,TRUE
-2015,0.2,0.2,pes,0,MATCH,NA
-2015,<.001,7.23e-05,p,NA,MATCH,TRUE
-2015,0.28,0.28,pes,0,MATCH,NA
-2015,0.001,0.001,p,0,MATCH,NA
-2015,0.2,0.2,pes,0,MATCH,NA
-2015,0.053,0.053,p,0,MATCH,NA
-2015,0.08,0.08,pes,0,MATCH,NA
-2015,<.001,0.000305,p,NA,MATCH,TRUE
-2015,0.24,0.24,pes,0,MATCH,NA
